Location Name,Description
 Cornish Tipi Holidays ,"A luscious, chalk-green, spring-fed quarry lake on private land, part of Cornish Tipi Holidays. Wooded cliffs and banks. Very deep and 200m long. Canoes, islands, fishing, landing bay. You need to be staying to swim: tipis from ﾣ275 for a mini break."
 Colliford Lake and Dozmary ,"A huge moorland lake, the highest and largest in Cornwall. Open access on the west side with chalky, shelving beaches. Dippers, wagtails and sand martins. No trees."
 St Nectan’s Kieve ,"A tall, slender Waterfall or Gorge at the head of a wild woody dingle. It falls into a high basin, flows through a circular hole and drops into a small plunge pool, 1.5m deep, 5m across. Prayer flags and shrine room. Small tea room in hermitage above. Many steps. Entrance ‘3."
 Spitchwick Common ," Peaty water, clean from the mountain, this is the most popular and accessible Dart swimming location, especially in summer. Also known as Deeper Marsh, it has been a bathing place for generations. Grassy flats lead to rocky river shore, deeper on far side with high cliff behind."
 Respryn Bridge ,Wooded National Trust estate riverside walk. Some sections 1.5’2m deep. Swim against the current. Wooden bankside deckings (for fishing). Beachy shingle area by footbridge. Popular at weekends.
 Bodmin Parkway ,"Still in the Lanhydrock Estate, this swim is off the original driveway to the main house from behind the station. Very woody and secluded, like a tropical jungle. Shallow rapids on inside bend, deep on outer bank for a plunge and swim against the current."
 Holne Pool ,"Small Waterfall or Gorge with sunbathing rock and large pool in secluded Holne Woods, close to Holne and its pub."
 Golitha Falls ,Beautiful stream of young river Fowey runs through ancient oak woodland. First 700m wide path provides access to shallows for paddling. At top of cascades rough tracks continue 200m down to shady secret plunge pool at bottom. Swim against the current. Golden sandy bottom. Don’t slip on rocks! Car park and toilet.
" Chagford Lido, Teign ",River-fed swimming pool with cafﾎ set in fields on outskirts of tiny Chagford. Largest outdoor pool in Devon. Upstream you can swim at shady weir pool behind town.
 Wellsfoot Island ,"Wonderful wooded island with red sand beach shelving into deep river bend with Holne cliff towering up behind. Rusty, peaty water. Velvet sand. Deep water under cliff. Access only feasible from river’s L bank."
" Salmon Leaps, Teign ","Long river pool in woods beneath Castle Drogo. About 1.5m deep. Weir and footbridge. The Teign cascades into three Victorian square stone plunge pools, each about 1m deep and smooth lined. Great for a pummelling massage!"
 Mel Tor Pools ,Small Waterfall or Gorge pool
" Cow Castle, Barle ","Deepish, smallish pool (10m x 20m x 1.5m deep) in the babbling river Barle in wild scenery beneath the ancient hill fort ‘Cow Castle’. Grass banks, orange asphodels. Long walk from car."
 Great Torrington ,"The Torridge at Torrington Common is fast flowing and pebbly but mainly shallow (1m) with some deeper holes. Woody, steep and wide the river is the setting for many of Tarka’s adventures."
" Chapelton Station, Taw ","Open river meadows by footbridge behind small railway halt on Barnstaple line. The Taw is large and wide here (50m across), fast flowing, but mainly shallow (1m). Good for swimming against the current but be careful. Popular fishing river so be discreet and respect fishermen who may be there."
